Título,Artista,Álbum,Género,Año,Popularidad
Despacito,Luis Fonsi,Vida,Reggaetón,2017,93
Decídete,Luis Miguel,Decídete,Pop latino,2016,89
Rayando el Sol,Maná,Falta Amor,Rock latino,1990,91
Me Gustas Tú,Manu Chao,Próxima Estación: Esperanza,Fusión,2001,88
Bailando,Enrique Iglesias,Sex and Love,Pop,2014,92
Vivir Mi Vida,Marc Anthony,3.0,Salsa,2013,95
Latinoamérica,Calle 13,Entren los que quieran,Hip hop,2010,96
Colgando en tus manos,Carlos Baute & Marta Sánchez,De mi puño y letra,Balada,2008,87
Amor Eterno,Rocío Dúrcal,Canta a Juan Gabriel,Ranchera,1984,94
Querida,Juan Gabriel,Recuerdos II,Balada,1984,90
